?Cases
!Chroma
XM1014 | Quicksilver - Mil-Spec - 0:0.5
PP-Bizon | Death Rattle - Consumer - 0.08:0.5
Tec-9 | Phoenix Chalk - Consumer - 0:0.8
Sawed-Off | Clay Ambush - Consumer - 0:0.6
Dual Berettas | Heist - Consumer - 0:0.7
M249 | Predator - Consumer - 0.06:0.8
R8 Revolver | Phoenix Marker - Industrial - 0:0.6
MP7 | Vault Heist - Industrial - 0:0.6
UMP-45 | Houndstooth - Industrial - 0:0.6
Nova | Rust Coat - Industrial - 0:0.8
Negev | Phoenix Stencil - Mil-Spec - 0:0.65
P90 | Tiger Pit - Mil-Spec - 0:0.5
Desert Eagle | Night Heist - Mil-Spec - 0:0.65
P250 | Bengal Tiger - Mil-Spec - 0.06:0.8
Galil AR | Phoenix Blacklight - Restricted - 0:0.7
Glock-18 | Franklin - Restricted - 0:0.4
SG 553 | Hypnotic - Restricted - 0:0.08
MAC-10 | Hot Snakes - Classified - 0:1
AWP | Silk Tiger - Classified - 0:0.6
AK-47 | X-Ray - Covert - 0:1
!Ancient
P90 | Ancient Earth - Consumer - 0:0.5
Nova | Army Sheen - Consumer - 0:0.3
SG 553 | Lush Ruins - Consumer - 0:0.7
SSG 08 | Jungle Dashed - Consumer - 0.6:0.8
R8 Revolver | Night - Consumer - 0.06:0.8
P2000 | Panther Camo - Industrial - 0:0.5
MP7 | Tall Grass - Industrial - 0:0.65
G3SG1 | Ancient Ritual - Industrial - 0:0.76
CZ75-Auto | Silver - Industrial - 0:0.08
Galil AR | Dusk Ruins - Mil-Spec - 0:0.6
FAMAS | Dark Water - Mil-Spec - 0.1:0.26
Tec-9 | Blast From the Past - Mil-Spec - 0:0.65
AUG | Carved Jade - Mil-Spec - 0:0.2
MAC-10 | Gold Brick - Restricted - 0:0.7
XM1014 | Ancient Lore - Restricted - 0:0.5
USP-S | Ancient Visions - Restricted - 0:0.45
P90 | Run and Hide - Classified - 0:1
AK-47 | Panthera onca - Classified - 0:1
M4A1-S | Welcome to the Jungle - Covert - 0:1
!2018 Inferno
MAG-7 | Rust Coat - Consumer - 0:1
UMP-45 | Mudder - Consumer - 0.06:0.8
AUG | Sweeper - Consumer - 0:0.6
MP5-SD | Dirt Drop - Consumer - 0.06:0.8
MP9 | Slide - Consumer - 0.06:0.8
PP-Bizon | Candy Apple - Industrial - 0:0.3
MAC-10 | Calf Skin - Industrial - 0:1
R8 Revolver | Nitro - Industrial - 0.06:0.8
Glock-18 | High Beam - Industrial - 0:0.08
Sawed-Off | Brake Light - Mil-Spec - 0:0.8
M4A4 | Converter - Mil-Spec - 0:0.4
USP-S | Check Engine - Mil-Spec - 0:0.6
SSG 08 | Hand Brake - Mil-Spec - 0:1
P250 | Vino Primo - Restricted - 0:1
MP7 | Fade - Restricted - 0:0.25
AK-47 | Safety Net - Restricted - 0:0.6
Dual Berettas | Twin Turbo - Classified - 0:1
SG 553 | Integrale - Classified - 0:1
!2018 Nuke
Nova | Mandrel - Consumer - 0:0.5
UMP-45 | Facility Dark - Consumer - 0:0.5
P250 | Facility Draft - Consumer - 0:0.5
Five-SeveN | Coolant - Consumer - 0:0.5
PP-Bizon | Facility Sketch - Consumer - 0:0.5
MP7 | Motherboard - Industrial - 0:0.5
Negev | Bulkhead - Industrial - 0:0.5
M4A4 | Mainframe - Industrial - 0:0.5
Galil AR | Cold Fusion - Industrial - 0:0.83
P250 | Exchanger - Mil-Spec - 0:0.5
P90 | Facility Negative - Mil-Spec - 0:0.5
MP5-SD | Co-Processor - Mil-Spec - 0:0.5
AWP | Acheron - Mil-Spec - 0:0.83
AUG | Random Access - Restricted - 0:0.5
MAG-7 | Core Breach - Restricted - 0:1
Glock-18 | Nuclear Garden - Restricted - 0:0.7
Tec-9 | Remote Control - Classified - 0:1
M4A1-S | Control Panel - Classified - 0:1
!Alpha
MP9 | Dry Season - Consumer - 0.06:0.8
M249 | Jungle DDPAT - Consumer - 0.06:0.8
Tec-9 | Tornado - Consumer - 0.06:0.8
MP7 | Groundwater - Consumer - 0.06:0.8
XM1014 | Jungle - Consumer - 0.06:0.8
Five-SeveN | Anodized Gunmetal - Consumer - 0:0.08
Sawed-Off | Mosaico - Industrial - 0.06:0.8
Negev | Palm - Industrial - 0.06:0.8
SSG 08 | Mayan Dreams - Industrial - 0.06:0.8
P250 | Facets - Industrial - 0.06:0.8
Glock-18 | Sand Dune - Industrial - 0.06:0.8
PP-Bizon | Rust Coat - Mil-Spec - 0:1
AUG | Anodized Navy - Mil-Spec - 0:0.08
MAG-7 | Hazard - Mil-Spec - 0.06:0.8
FAMAS | Spitfire - Restricted - 0.06:0.8
SCAR-20 | Emerald - Restricted - 0:0.08
!Assault
SG 553 | Tornado - Consumer - 0.06:0.8
UMP-45 | Caramel - 0.06:0.8
Five-SeveN | Candy Apple - Industrial - 0:0.3
Negev | Anodized Navy - Mil-Spec - 0:0.08
AUG | Hot Rod - Mil-Spec - 0:0.08
MP9 | Bulldozer - Restricted - 0.06:0.8
Glock-18 | Fade - Restricted - 0:0.08
!Aztec
SSG 08 | Lichen Dashed - Consumer - 0.06:0.8
Five-SeveN | Jungle - Consumer - 0.06:0.8
Nova | Forest Leaves - Consumer - 0.06:0.8
M4A4 | Jungle Tiger - Industrial - 0.06:0.8
AK-47 | Jungle Spray - Industrial - 0.06:0.8
Tec-9 | Ossified - Mil-Spec - 0:0.08
!Baggage
CZ75-Auto | Green Plaid - Consumer - 0:0.58
MP9 | Green Plaid - Consumer - 0:0.58
MP7 | Olive Plaid - Consumer - 0:0.58
G3SG1 | Contractor - Consumer - 0.06:0.8
SSG 08 | Sand Dune - Consumer - 0.06:0.8
P2000 | Coach Class - Industrial - 0:1
P90 | Leather - Industrial - 0:1
SG 553 | Traveler - Industrial - 0:1
MAC-10 | Commuter - Industrial - 0.1
Sawed-Off | First Class - Mil-Spec - 0:0.5
XM1014 | Red Leather - Mil-Spec - 0:0.56
USP-S | Business Class - Mil-Spec - 0:1
AK-47 | First Class - Restricted - 0:1
Desert Eagle | Pilot - Restricted - 0:1
AK-47 | Jet Set - Classified - 0:1
!Bank
MP7 | Forest DDPAT - Consumer - 0.06:0.8
Sawed-Off | Forest DDPAT - Consumer - 0.06:0.8
SG 553 | Army Sheen - Consumer - 0:0.3
Negev | Army Sheen - Consumer - 0:0.3
Tec-9 | Urban DDPAT - Consumer - 0.06:0.8
R8 Revolver | Bone Mask - Consumer - 0.06:0.8
Glock-18 | Death Rattle - Industrial - 0.08:0.5
G3SG1 | Green Apple - Industrial - 0:0.3
Nova | Caged Steel - Industrial - 0:0.2
UMP-45 | Carbon Fiber - Industrial - 0:0.12
MAC-10 | Silver - Industrial - 0:0.08
Galil AR | Tuxedo - Mil-Spec - 0:0.8
CZ75-Auto | Tuxedo - Mil-Spec - 0:0.8
Desert Eagle | Meteorite - Mil-Spec - 0:0.18
AK-47 | Emerald Pinstripe - Restricted - 0:1
P250 | Franklin - Classified - 0:0.4
!Cache
Negev | Nuclear Waste - Industrial - 0:0.4
PP-Bizon | Chemical Green - Industrial - 0:0.9
P250 | Contamination - Industrial - 0:0.83
Five-SeveN | Hot Shot - Industrial - 0:1
SG 553 | Fallout Warning - Industrial - 0:0.8
AUG | Radiation Hazard - Industrial - 0:0.55
XM1014 | Bone Machine - Mil-Spec - 0:0.6
Tec-9 | Toxic - Mil-Spec - 0:0.7
MAC-10 | Nuclear Garden - Mil-Spec - 0:0.7
MP9 | Setting Sun - Mil-Spec - 0:1
Glock-18 | Reactor - Mil-Spec - 0:1
FAMAS | Styx - Restricted - 0:0.6
Galil AR | Cerberus - Restricted - 0:0.9
!Canals
AUG | Navy Murano - Consumer - 0:1
Negev | Boroque Sand - Consumer - 0:1
SCAR-20 | Stone Mosaico - Consumer - 0.06:0.5
R8 Revolver | Canal Spray - Consumer - 0.06:0.5
CZ75-Auto | Indigo - Consumer - 0.06:0.5
Tec-9 | Orange Murano - Industrial - 0:1
SG 553 | Candy Apple - Industrial - 0:0.7
P250 | Dark Filigree - Industrial - 0:0.5
AK-47 | Baroque Purple - Industrial - 0:1
SSG 08 | Orange Filigree - Mil-Spec - 0:0.5
Dual Berettas | Emerald - Mil-Spec - 0:0.08
P90 | Baroque Red - Mil-Spec - 0:0.5
G3SG1 | Violet Murano - Mil-Spec - 0:0.5
MAC-10 | Red Filigree - Restricted - 0:0.5
MP9 | Stained Glass - Restricted - 0:0.5
Nova | Baroque Orange - Restricted - 0:0.5
MAG-7 | Cinquedea - Classified - 0:1
AWP | The Prince - Covert - 0:0.6
!Chop Shop
M249 | Impact Drill - Consumer - 0:1
MAG-7 | Seabird - Consumer - 0:1
SCAR-20 | Army Sheen - Consumer - 0:0.3
CZ75-Auto | Army Sheen - Consumer - 0:0.3
Galil AR | Urban Rubble - Industrial - 0:0.5
USP-S | Para Green - Industrial - 0:0.8
Desert Eagle | Night - Industrial - 0.06:0.8
MP7 | Full Stop - Mil-Spec - 0:0.6
Five-SeveN | Nitro - Mil-Spec - 0.06:0.8
CZ75-Auto | Emerald - Mil-Spec - 0:0.08
MAC-10 | Fade - Mil-Spec - 0:0.08
P250 | Whiteout - Mil-Spec - 0.06:0.8
Dual Berettas | Duelist - Restricted - 0:1
SG 553 | Bulldozer - Restricted - 0.06:0.8
Glock-18 | Twilight Galaxy - Classified - 0:0.2
M4A1-S | Hot Rod - Classified - 0:0.08
!Cobblestone
Dual Berettas | Briar - Consumer - 0:0.22
SCAR-20 | Storm - Consumer - 0.06:0.8
P90 | Storm - Consumer - 0.06:0.8
UMP-45 | Indigo - Consumer - 0.06:0.8
MAC-10 | Indigo - Consumer - 0.06:0.8
Sawed-Off | Rust Coat - Industrial - 0:0.8
Nova | Green Apple- Industrial - 0:0.3
MAG-7 | Silver - Industrial - 0:0.08
USP-S | Royal Blue - Industrial - 0.06:0.8
P2000 | Chainmail - Mil-Spec - 0:0.22
MP9 | Dark Age - Mil-Spec - 0:0.22
Desert Eagle | Hand Cannon - Restricted - 0.01:0.7
CZ75-Auto | Chalice - Restricted - 0:0.1
M4A1-S | Knight - Classified - 0:0.1
AWP | Dragon Lore - Covert - 0:0.7
!Dust
M4A4 | Desert Storm - Industrial - 0.06:0.8
SCAR-20 | Palm - Industrial - 0.06:0.8
AK-47 | Predator - Industrial - 0.06:0.8
AUG | Copperhead - Mil-Spec - 0.12:0.38
Sawed-Off | Copper - Mil-Spec - 0:1
AWP | Snake Camo - Mil-Spec - 0.06:0.8
P2000 | Scorpion - Restricted - 0:0.08
Glock-18 | Brass - Restricted - 0:1
Desert Eagle | Blaze - Restricted - 0:0.08
!Dust 2
Nova | Predator - Consumer - 0.06:0.8
SCAR-20 | Sand Mesh - Consumer - 0.06:0.8
P90 | Sand Spray - Consumer - 0.06:0.8
G3SG1 | Desert Storm - Consumer - 0.06:0.8
MP9 | Sand Dashed - Consumer - 0.06:0.8
P250 | Sand Dune - Consumer - 0.06:0.8
Tec-9 | VariCamo - Industrial - 0:0.6
Sawed-Off | Snake Camo - Industrial - 0.06:0.8
MAC-10 | Palm - Industrial - 0.06:0.8
Five-SeveN | Orange Peel - Industrial - 0.06:0.8
AK-47 | Safari Mesh - Industrial - 0.06:0.8
PP-Bizon | Brass - Mil-Spec - 0:1
M4A1-S | VariCamo - Mil-Spec - 0:0.6
SG 553 | Damascus Steel - Mil-Spec - 0:1
P2000 | Amber Fade - Restricted - 0:0.4
R8 Revolver | Amber Fade - Classified - 0:0.4
!Gods and Monsters
Dual Berettas | Moon in Libra - Consumer - 0:0.5
AUG | Daedalus - Consumer - 0:0.55
MP7 | Asterion - Consumer - 0:0.55
Nova | Moon in Libra - Consumer - 0:0.5
P2000 | Pathfinder - Industrial - 0:0.35
Tec-9 | Hades - Industrial - 0:1
M249 | Shipping Forecast - Industrial - 0:0.5
AWP | Sun in Leo - Industrial - 0:0.5
MP9 | Pandora's Box - Mil-Spec - 0:0.3
UMP-45 | Minotaur's Labyrinth - Mil-Spec - 0:0.39
M4A1-S | Icarus Fell - Restricted - 0:0.1
G3SG1 | Chronos - Restricted - 0:0.4
M4A4 | Poseidon - Classified - 0:0.33
AWP | Medusa - Covert - 0:1
Inferno:
MAG-7 | Sand Dune - Consumer - 0.06:0.8
Nova | Walnut - Consumer - 0.06:0.8
P250 | Gunsmoke - Industrial - 0.06:0.8
M4A4 | Tornado - Industrial - 0.06:0.8
Dual Berettas | Anodized Navy - Mil-Spec - 0:0.08
Tec-9 | Brass - Mil-Spec - 0:1
!Italy
PP-Bizon | Sand Dashed - Consumer - 0.06:0.8
Tec-9 | Groundwater - Consumer - 0.06:0.8
Nova | Sand Dune - Consumer - 0.06:0.8
FAMAS | Colony - Consumer - 0.06:0.8
AUG | Contractor - Consumer - 0.06:0.8
UMP-45 | Gunsmoke - Industrial - 0.06:0.8
P2000 | Granite Marbleized - Industrial - 0.06:0.8
Dual Berettas | Stained - Industrial - 0:1
XM1014 | CaliCamo - Industrial - 0:0.6
Nova | Candy Apple - Industrial - 0:0.3
M4A1-S | Boreal Forest - Industrial - 0.06:0.8
MP7 | Anodized Navy - Mil-Spec - 0:0.08
Sawed-Off | Full Stop - Mil-Spec - 0:0.6
Glock-18 | Candy Apple - Mil-Spec - 0:0.3
AWP | Pit Viper - Restricted - 0.08:0.5
!Lake
Galil AR | Sage Spray - Consumer - 0.06:0.8
XM1014 | Blue Spruce - Consumer - 0.06:0.8
AUG | Storm - Consumer - 0.06:0.8
P250 | Boreal Forest - Consumer - 0.06:0.8
SG 553 | Waves Perforated - Consumer - 0.06:0.8
G3SG1 | Jungle Dashed - Consumer - 0.06:0.8
FAMAS | Cyanospatter - Industrial - 0.06:0.8
Desert Eagle | Mudder - Industrial - 0.06:0.8
PP-Bizon | Night Ops - Industrial - 0:0.6
AWP | Safari Mesh - Industrial - 0.06:0.8
XM1014 | Blue Steel - Industrial - 0:1
USP-S | Night Ops - Mil-Spec - 0:0.6
SG 553 | Anodized Navy - Mil-Spec - 0:0.08
P90 | Teardown - Mil-Spec - 0:0.6
Dual Berettas | Cobalt Quartz - Restricted - 0:0.4
!Militia
XM1014 | Grassland - Consumer - 0.06:0.8
PP-Bizon | Forest Leaves - Consumer - 0.06:0.8
MAC-10 | Tornado - Consumer - 0.06:0.8
P2000 | Grassland Leaves - Industrial - 0.06:0.8
XM1014 | Blaze Orange - Mil-Spec - 0.06:0.8
Nova | Blaze Orange - Mil-Spec - 0.06:0.8
PP-Bizon | Modern Hunter - Mil-Spec - 0.06:0.8
Nova | Modern Hunter - Mil-Spec - 0.06:0.8
P250 | Modern Hunter - Mil-Spec - 0.06:0.8
M4A4 | Modern Hunter - Restricted - 0.06:0.8
SCAR-20 | Splash Jam - Classified - 0.06:0.8
!Mirage
Galil AR | Hunting Blind - Consumer - 0:0.6
P250 | Bone Mask - Consumer - 0.06:0.8
G3SG1 | Safari Mesh - Consumer - 0.06:0.8
P90 | Scorched - Consumer - 0.06:0.8
Five-SeveN | Contractor - Consumer - 0.06:0.8
AUG | Colony - Consumer - 0.06:0.8
Negev | CaliCamo - Industrial - 0:0.6
SG 553 | Gator Mesh - Industrial - 0:0.5
MP7 | Orange Peel - Industrial - 0.06:0.8
SSG 08 | Tropical Storm - Industrial - 0.06:0.8
Glock-18 | Groundwater - Industrial - 0.06:0.8
MAC-10 | Amber Fade - Mil-Spec - 0:0.4
MP9 | Hot Rod - Mil-Spec - 0:0.08
UMP-45 | Blaze - Mil-Spec - 0:0.08
MAG-7 | Bulldozer - Restricted - 0.06:0.8
!Norse
SG 553 | Barricade - Consumer - 0:0.65
FAMAS | Night Borre - Consumer - 0:0.55
SSG 08 | Red Stone - Consumer - 0.06:0.5
Galil AR | Tornado - Consumer - 0.06:0.8
MP7 | Scorched - Consumer - 0.06:0.8
USP-S | Pathfinder - Industrial - 0:0.35
M4A1-S | Moss Quartz - Industrial - 0:0.5
MAG-7 | Chainmail - Industrial - 0:0.22
Dual Berettas | Pyre - Industrial - 0.06:0.55
CZ75-Auto | Emerald Quartz - Mil-Spec - 0:0.7
XM1014 | Frost Borre - Mil-Spec - 0:0.5
MAC-10 | Copper Borre - Mil-Spec - 0:0.5
SCAR-20 | Brass - Mil-Spec - 0:1
Desert Eagle | Emerald Jörmungandr - Restricted - 0:0.5
P90 | Astral Jörmungandr - Restricted - 0:0.5
AUG | Flame Jörmungandr - Restricted - 0:0.5
Negev | Mjölnir - Classified - 0:0.6
AWP | Gungnir - Covert - 0:0.6
!Nuke
MAG-7 | Irradiated Alert - Consumer - 0.06:0.8
PP-Bizon | Irradiated Alert - Consumer - 0.06:0.8
Sawed-Off | Irradiated Alert - Consumer - 0.06:0.8
UMP-45 | Fallout Warning - Industrial - 0.06:0.8
P90 | Fallout Warning - Industrial - 0.06:0.8
XM1014 | Fallout Warning - Industrial - 0.06:0.8
M4A4 | Radiation Hazard - Mil-Spec - 0.06:0.8
P250 | Nuclear Threat - Restricted - 0.06:0.8
Tec-9 | Nuclear Threat - Restricted - 0.06:0.8
!Office
FAMAS | Contrast Spray - Consumer - 0.06:0.8
G3SG1 | Arctic Camo - Industrial - 0.06:0.8
Galil AR | Winter Forest - Industrial - 0.06:0.8
M249 | Blizzard Marbleized - Industrial - 0.06:0.8
P2000 | Silver - Mil-Spec - 0:0.08
MP7 | Whiteout - Mil-Spec - 0.06:0.8
!Overpass
MAG-7 | Storm - Consumer - 0.06:0.8
Sawed-Off | Sage Spray - Consumer - 0.06:0.8
UMP-45 | Scorched - Consumer - 0.06:0.8
M249 | Contrast Spray - Consumer - 0.06:0.8
MP9 | Storm - Consumer - 0.06:0.8
P2000 | Grassland - Industrial - 0.06:0.8
MP7 | Gunsmoke - Industrial - 0.06:0.8
Glock-18 | Night - Industrial - 0.06:0.8
Desert Eagle | Urban DDPAT - Industrial - 0.06:0.8
XM1014 | VariCamo Blue - Mil-Spec - 0:0.5
SSG 08 | Detour - Mil-Spec - 0:0.43
CZ75-Auto | Nitro - Mil-Spec - 0.06:0.8
AWP | Pink DDPAT - Restricted - 0.06:0.8
USP-S | Road Rash - Restricted - 0:1
M4A1-S | Master Piece - Classified - 0:1
!Rising Sun
Sawed-Off | Bamboo Shadow - Consumer - 0:0.6
G3SG1 | Orange Kimono - Consumer - 0:0.8
P250 | Mint Kimono - Consumer - 0:0.8
PP-Bizon | Bamboo Print - Consumer - 0:0.8
Tec-9 | Bamboo Forest - Consumer - 0:0.6
P250 | Crimson Kimono - Industrial - 0:0.8
Desert Eagle | Midnight Storm - Industrial - 0:0.76
Tec-9 | Terrace - Mil-Spec - 0:1
MAG-7 | Counter Terrace - Mil-Spec - 0:0.65
Galil AR | Aqua Terrace - Mil-Spec - 0:0.7
M4A4 | Daybreak - Restricted - 0:0.6
Five-SeveN | Neon Kimono - Restricted - 0:0.8
Desert Eagle | Sunset Storm 弐 - Restricted - 0:0.75
Desert Eagle | Sunset Storm 壱 - Restricted - 0:0.75
AK-47 | Hydroponic - Classified - 0:0.8
AUG | Akihabara Accept - Covert - 0:1
!Safehouse
SCAR-20 | Contractor - Consumer - 0.06:0.8
Tec-9 | Army Mesh - Consumer - 0:0.6
SSG 08 | Blue Spruce - Consumer - 0.06:0.8
MP7 | Army Recon - Consumer - 0.06:0.8
Dual Berettas | Contractor - Consumer - 0.06:0.8
MP9 | Orange Peel - Industrial - 0.06:0.8
Galil AR | VariCamo - Industrial - 0:0.6
G3SG1 | VariCamo - Industrial - 0:0.6
AUG | Condemned - Industrial - 0.06:0.8
M249 | Gator Mesh - Industrial - 0:0.6
USP-S | Forest Leaves - Industrial - 0.06:0.8
FAMAS | Teardown - Mil-Spec - 0:0.6
Five-SeveN | Silver Quartz - Mil-Spec - 0:0.4
SSG 08 | Acid Fade - Mil-Spec - 0:0.03
M4A1-S | Nitro - Restricted - 0.06:0.8
!St. Marc
PP-Bizon | Seabird - Consumer - 0:0.5
MAC-10 | Surfwood - Consumer - 0:0.5
Sawed-Off | Jungle Thicket - Consumer - 0:0.5
MP5-SD | Bamboo Garden - Consumer - 0:0.55
M249 | Jungle - Consumer - 0.06:0.8
M4A4 | Dark Blossom - Industrial - 0:0.5
P90 | Sunset Lily - Industrial - 0:0.5
Tec-9 | Rust Leaf - Industrial - 0:0.5
XM1014 | Banana Leaf - Industrial - 0:0.6
MP7 | Teal Blossom - Mil-Spec - 0:0.5
FAMAS | Sundown - Mil-Spec - 0:0.6
UMP-45 | Day Lily - Mil-Spec - 0:0.55
Five-SeveN | Crimson Blossom - Mil-Spec - 0:0.5
AUG | Midnight Lily - Restricted - 0:0.5
SSG 08 | Sea Calico - Restricted - 0:0.5
Glock-18 | Synth Leaf - Restricted - 0:0.7
MP9 | Wild Lily - Classified - 0:0.7
AK-47 | Wild Lotus - Covert - 0:1
!Train
PP-Bizon | Urban Dashed - Consumer - 0.06:0.8
Nova | Polar Mesh - Consumer - 0.06:0.8
Dual Berettas | Colony - Consumer - 0.06:0.8
UMP-45 | Urban DDPAT - Consumer - 0.06:0.8
Five-SeveN | Forest Night - Consumer - 0.06:0.8
G3SG1 | Polar Camo - Consumer - 0.06:0.8
P90 | Ash Wood - Industrial - 0:0.45
SCAR-20 | Carbon Fiber - Industrial - 0.12
MAG-7 | Metallic DDPAT - Industrial - 0:0.08
P250 | Metallic DDPAT - Industrial - 0:0.08
MAC-10 | Candy Apple - Industrial - 0:0.3
M4A4 | Urban DDPAT - Industrial - 0.06:0.8
Sawed-Off | Amber Fade - Mil-Spec - 0:0.4
Desert Eagle | Urban Rubble - Mil-Spec - 0:0.5
Tec-9 | Red Quartz - Restricted - 0:0.4
!Vertigo
XM1014 | Urban Perforated - Consumer - 0.06:0.8
MAC-10 | Urban DDPAT - Consumer - 0.06:0.8
PP-Bizon | Carbon Fiber - Industrial - 0:0.12
AK-47 | Black Laminate - Mil-Spec - 0.06:0.8
P90 | Glacier Mesh - Mil-Spec - 0.06:0.8
Dual Berettas | Demolition - Restricted - 0.26:0.8
